   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, SelectionSort_cmp, SelectionSort_swaps, SelectionSort_time, HeapSort_cmp, HeapSort_swaps, HeapSort_time
 389,         75018,           37123,             50,     11748,        1068,         26,             75466,                 382,                 95,        15084,           3005,            33
 390,         75680,           37453,             51,     11937,        1067,         26,             75855,                 379,                 96,        15158,           3020,            83
 391,         75972,           37598,             49,     12274,        1068,         26,             76245,                 385,                 94,        15160,           3020,            32
 392,         76368,           37795,             50,     11631,        1107,         26,             76636,                 387,                 94,        15249,           3041,            32
 393,         77002,           38111,             50,     11717,        1070,         25,             77028,                 386,                 95,        15283,           3047,            33
 394,         77638,           38428,             51,     11764,        1084,         25,             77421,                 385,                 98,        15327,           3051,            33
 395,         78310,           38763,             90,     12056,        1103,         25,             77815,                 391,                132,        15298,           3043,            33
 396,         78522,           38868,             51,     11491,        1087,         25,             78210,                 392,                 96,        15378,           3059,            34
 397,         79128,           39170,             52,     12571,        1118,         26,             78606,                 390,                117,        15366,           3054,            39
 398,         79914,           39562,             71,     12860,        1087,         29,             79003,                 392,                134,        15506,           3088,            33
 399,         80508,           39858,             89,     12392,        1101,         48,             79401,                 397,                119,        15569,           3104,            33
 400,         81030,           40118,             53,     11922,        1111,         25,             79800,                 393,                 98,        15608,           3108,            33
 401,         81272,           40238,             53,     12294,        1101,         26,             80200,                 394,                100,        15637,           3111,            34
 402,         81438,           40320,             53,     13146,        1095,         26,             80601,                 391,                100,        15695,           3125,            34
 403,         81906,           40553,             54,     12244,        1125,         27,             81003,                 398,                100,        15749,           3134,            34
 404,         82713,           40956,             54,     12796,        1127,         51,             81406,                 399,                165,        15748,           3135,            34
 405,         82729,           40963,             54,     13082,        1108,         27,             81810,                 396,                100,        15806,           3149,            34
 406,         82867,           41031,             53,     12305,        1132,         26,             82215,                 397,                100,        15879,           3161,            34
 407,         83023,           41108,             54,     13369,        1099,         26,             82621,                 402,                100,        15866,           3155,            34
 408,         83661,           41426,             54,     12347,        1122,         26,             83028,                 400,                101,        15935,           3169,            34
 409,         84267,           41728,             55,     12822,        1125,         27,             83436,                 406,                101,        15969,           3177,            34
 410,         84955,           42071,             55,     12615,        1121,         26,             83845,                 405,                102,        16128,           3213,            35
 411,         85747,           42466,             56,     13352,        1136,         27,             84255,                 402,                103,        16017,           3188,            35
 412,         86131,           42657,             56,     12733,        1157,         27,             84666,                 401,                103,        16093,           3201,            35
 413,         86349,           42765,             56,     13097,        1116,         26,             85078,                 400,                104,        16107,           3202,            35
 414,         86403,           42791,             93,     13652,        1121,         27,             85491,                 404,                104,        16211,           3227,            35
 415,         86967,           43072,             56,     12762,        1147,         27,             85905,                 408,                106,        16232,           3227,            37
 416,         87093,           43134,             57,     13133,        1157,         27,             86320,                 411,                105,        16293,           3241,            49
 417,         87301,           43237,             57,     12871,        1157,         27,             86736,                 413,                105,        16425,           3276,            35
 418,         87749,           43460,             57,     12153,        1172,         28,             87153,                 410,                106,        16381,           3257,            35
 419,         87963,           43566,             57,     12805,        1168,         27,             87571,                 411,                 99,        16443,           3273,            35
 420,         88203,           43685,             57,     13005,        1151,         27,             87990,                 412,                100,        16502,           3287,            35
 421,         88491,           43828,             57,     13401,        1165,         28,             88410,                 411,                106,        16615,           3313,            35
 422,         88891,           44027,             58,     12441,        1208,         28,             88831,                 412,                108,        16630,           3309,            36
 423,         89149,           44155,             58,     12837,        1180,         27,             89253,                 418,                107,        16678,           3322,            35
 424,         89927,           44543,             58,     12875,        1167,         28,             89676,                 416,                109,        16727,           3332,            36
 425,         90441,           44799,             59,     13584,        1175,         28,             90100,                 414,                109,        16755,           3336,            36
 426,         90845,           45000,             59,     12723,        1212,         28,             90525,                 418,                139,        16888,           3366,            36
 427,         90969,           45061,             98,     13226,        1194,         43,             90951,                 419,                108,        16851,           3360,            36
 428,         91067,           45109,             59,     13836,        1206,         29,             91378,                 420,                110,        16928,           3373,            38
 429,         91403,           45276,            124,     13465,        1211,         51,             91806,                 422,                120,        16957,           3376,            59
 430,         91431,           45289,             61,     14078,        1181,         28,             92235,                 423,                114,        17014,           3389,            37
 431,         91515,           45330,             61,     14017,        1184,         46,             92665,                 424,                128,        17055,           3394,            37
 432,         91621,           45382,             60,     13669,        1203,         28,             93096,                 425,                112,        17095,           3404,            37
 433,         92269,           45705,             60,     13466,        1192,         28,             93528,                 425,                113,        17146,           3413,            37
 434,         92659,           45899,             60,     13276,        1215,         28,             93961,                 425,                113,        17196,           3424,            37
 435,         92771,           45954,             60,     13470,        1230,         29,             94395,                 427,                114,        17209,           3428,            61
 436,         93071,           46103,             62,     13277,        1206,         28,             94830,                 426,                153,        17315,           3448,            56
 437,         93433,           46283,             64,     13808,        1203,         30,             95266,                 427,                160,        17329,           3449,            56
 438,         93659,           46395,            109,     13978,        1224,         79,             95703,                 428,                185,        17386,           3461,            39
 439,         93905,           46517,             83,     13415,        1212,         31,             96141,                 432,                122,        17407,           3467,            40
 440,         93973,           46550,             69,     14454,        1191,         30,             96580,                 432,                128,        17480,           3482,            40
 441,         94457,           46791,            121,     13695,        1243,         54,             97020,                 431,                117,        17490,           3477,            38
 442,         94565,           46844,             61,     13820,        1247,         65,             97461,                 434,                204,        17620,           3509,            73
 443,         94593,           46857,             97,     14194,        1226,         64,             97903,                 435,                139,        17657,           3517,            73
 444,         94967,           47043,             76,     13716,        1238,         30,             98346,                 436,                118,        17636,           3508,            39
 445,         95819,           47468,             78,     14145,        1231,         29,             98790,                 438,                119,        17702,           3525,            39
 446,         96601,           47858,             84,     13775,        1228,         30,             99235,                 438,                158,        17844,           3555,            38
 447,         97457,           48285,             64,     14493,        1236,         30,             99681,                 437,                120,        17761,           3535,            38
 448,         98165,           48638,             64,     14167,        1246,         29,            100128,                 440,                120,        17822,           3545,            38
 449,         98819,           48964,             64,     14076,        1266,         29,            100576,                 444,                122,        17851,           3550,            53
 450,         99563,           49335,             85,     13967,        1222,         44,            101025,                 445,                208,        17893,           3557,            60
 451,        100463,           49784,            115,     15817,        1236,         50,            101475,                 440,                126,        18012,           3586,            40
 452,        100481,           49792,             65,     15701,        1247,         30,            101926,                 441,                123,        18069,           3597,            39
 453,        100729,           49915,             65,     14189,        1262,         30,            102378,                 441,                124,        18161,           3617,            41
 454,        101083,           50091,             82,     14327,        1263,         31,            102831,                 448,                124,        18180,           3619,            40
 455,        101415,           50256,             66,     14675,        1288,         30,            103285,                 445,                125,        18177,           3618,            39
 456,        102117,           50606,             66,     14116,        1301,         30,            103740,                 448,                124,        18186,           3616,            39
 457,        102757,           50925,             70,     14244,        1280,         30,            104196,                 446,                126,        18274,           3641,            39
 458,        102981,           51036,             67,     15074,        1299,         31,            104653,                 446,                146,        18333,           3646,            74
 459,        103865,           51477,            131,     14843,        1273,         31,            105111,                 451,                129,        18293,           3638,            54
 460,        104427,           51757,             68,     15006,        1274,         30,            105570,                 453,                127,        18399,           3659,            39
 461,        104629,           51857,             68,     14749,        1286,         31,            106030,                 453,                148,        18482,           3679,            54
 462,        104679,           51881,             68,     15227,        1309,         30,            106491,                 455,                127,        18498,           3680,            39
 463,        105604,           52343,             69,     15258,        1282,         31,            106953,                 457,                128,        18622,           3710,            40
